Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,156.309998,160.000000,155.149994,159.750000,158.446518,11559000
2022-05-03,159.570007,163.429993,159.259995,162.490005,161.164169,8827200
2022-05-04,164.970001,167.889999,163.470001,167.589996,166.222549,9183200
2022-05-05,169.259995,169.500000,162.649994,166.259995,164.903397,9807600
2022-05-06,168.270004,170.970001,165.419998,170.690002,169.297256,10418100
2022-05-09,167.750000,167.750000,158.479996,159.250000,157.950592,14110700
2022-05-10,162.210007,164.190002,157.869995,160.779999,159.468109,11636000
2022-05-11,163.580002,167.460007,162.509995,163.160004,161.828690,9105500
2022-05-12,163.220001,164.850006,158.860001,164.710007,163.366058,8936400
2022-05-13,166.500000,168.789993,164.880005,167.869995,166.500259,9229900
2022-05-16,169.000000,174.970001,168.860001,173.009995,171.598312,13296300
2022-05-17,174.839996,175.649994,172.610001,174.029999,172.610001,12827600
2022-05-18,174.119995,174.130005,165.789993,168.059998,168.059998,13107500
2022-05-19,164.630005,169.639999,162.830002,166.860001,166.860001,10958700
2022-05-20,168.880005,171.039993,164.089996,167.820007,167.820007,9615000
2022-05-23,169.429993,172.960007,169.110001,171.720001,171.720001,10216400
2022-05-24,170.690002,173.580002,169.809998,172.639999,172.639999,9782700
2022-05-25,173.139999,175.990005,172.970001,175.410004,175.410004,10174500
2022-05-26,176.490005,177.929993,175.009995,176.589996,176.589996,11213900
2022-05-27,176.520004,178.350006,175.690002,178.279999,178.279999,10512300
2022-05-31,179.960007,180.960007,173.470001,174.660004,174.660004,20547600
2022-06-01,176.729996,178.130005,174.940002,176.320007,176.320007,8824100
