Date,Close/Last,Volume,Open,High,Low
06/17/2022,$71.87,9824325,$71.08,$72.44,$70.77
06/16/2022,$70.95,10147030,$72.43,$72.61,$70.35
06/15/2022,$74.19,7682259,$73.25,$75.27,$73.1076
06/14/2022,$72.31,7635554,$72.85,$73.84,$71.53
06/13/2022,$72.36,9282753,$73.09,$74.01,$71.91
06/10/2022,$75.67,8695476,$77.02,$77.79,$75.66
06/09/2022,$78.91,13248100,$77.97,$80.27,$77.73
06/08/2022,$78.47,5178253,$78.9,$79.7698,$78.26
06/07/2022,$79.47,5517101,$78.57,$79.75,$78.26
06/06/2022,$78.98,7239429,$79.7,$81.2999,$78.53
06/03/2022,$79.05,10415720,$79,$79.9,$78.32
06/02/2022,$79.42,10241470,$76.54,$79.5,$75.85
06/01/2022,$76.28,7578950,$78.75,$78.88,$76.05
05/31/2022,$78.5,23361760,$76.97,$79.655,$76.55
05/27/2022,$76.71,8498381,$75.23,$76.72,$75.15
05/26/2022,$74.49,8940945,$72.95,$74.77,$72.87
05/25/2022,$72.48,8344364,$72.72,$73.5,$71.93
05/24/2022,$72.72,9227687,$72.97,$73.335,$71.265
05/23/2022,$73.42,10741900,$73.73,$74.27,$72.57
